# ----------------------------------------
# 1 Master View
# Audience Overview
# 20170101-20180228
# ----------------------------------------

Day Index,Date Range,Segment,Sessions,Avg. Session Duration
3/2/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,175,00:08:23
3/3/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,349",00:02:40
3/3/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,183,00:08:16
3/4/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,892",00:03:03
3/4/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,121,00:12:55
3/5/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,987",00:02:49
3/5/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,114,00:10:54
3/6/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,633",00:02:56
3/6/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,241,00:08:19
3/7/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,793",00:02:50
3/7/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,236,00:08:01
3/8/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,617",00:02:42
3/8/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,173,00:08:45
3/9/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,432",00:02:33
3/9/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,173,00:08:43
3/10/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,411",00:02:56
3/10/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,165,00:08:06
3/11/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,808",00:02:28
3/11/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,82,00:10:02
3/12/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,935",00:02:26
3/12/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,105,00:07:22
3/13/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,778",00:02:52
3/13/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,206,00:08:18
3/14/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,588",00:02:34
3/14/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,190,00:08:32
3/15/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,732",00:03:01
3/15/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,209,00:09:49
3/16/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,587",00:02:10
3/16/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,176,00:07:25
3/17/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,276",00:02:30
3/17/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,132,00:08:46
3/18/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,724",00:02:31
3/18/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,86,00:10:37
