--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1950 a 01/08/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83714;01/04/1961;0000;;20.3;;9.3;;11.82;82.75;1.333333;
83714;01/04/1961;1200;0;;3.3;;;;;;
83714;02/04/1961;0000;;22.2;;9;2.6;15.54;89;3;
83714;02/04/1961;1200;0;;5.2;;;;;;
83714;03/04/1961;0000;;21.2;;6.4;2.5;14.76;85.5;2.333333;
83714;03/04/1961;1200;0;;8.8;;;;;;
83714;04/04/1961;0000;;17.3;;1.3;1.6;15.26;95.25;4.333333;
83714;04/04/1961;1200;0;;10;;;;;;
83714;05/04/1961;0000;;21.1;;2.8;0.9;16.64;92;1.666667;
83714;05/04/1961;1200;11.8;;9.8;;;;;;
83714;06/04/1961;0000;;20.3;;0.8;1.3;15.96;92.25;1.666667;
83714;06/04/1961;1200;12.7;;9.9;;;;;;
83714;07/04/1961;0000;;21.2;;1.6;1.2;15.9;94.75;1.333333;
83714;07/04/1961;1200;1.9;;10.1;;;;;;
83714;08/04/1961;0000;;22.3;;8.3;1.5;17.02;84.25;1.666667;
83714;08/04/1961;1200;0;;10;;;;;;
83714;09/04/1961;0000;;23.8;;4.6;1.4;17.56;92.25;1.866667;
83714;09/04/1961;1200;0;;11.3;;;;;;
83714;10/04/1961;0000;;19.8;;1.5;0.9;;;1;
83714;10/04/1961;1200;17.5;;12.5;;;;;;
83714;11/04/1961;0000;;23.8;;5;0.9;16.56;90.5;3;
83714;11/04/1961;1200;0.1;;11.2;;;;;;
83714;12/04/1961;0000;;23.5;;4.1;1.4;16.62;91.25;0.666667;
83714;12/04/1961;1200;0.8;;10.1;;;;;;
83714;13/04/1961;0000;;24.5;;7.3;1.4;16.66;88.75;2;
83714;13/04/1961;1200;0.8;;9.5;;;;;;
83714;14/04/1961;0000;;24;;7.1;1.5;16.36;85.5;1.333333;
83714;14/04/1961;1200;0;;9.8;;;;;;
83714;15/04/1961;0000;;24.2;;7.5;1.7;17;91.5;1.333333;
83714;15/04/1961;1200;0;;9;;;;;;
83714;16/04/1961;0000;;23.8;;5.9;1.7;15.86;90.25;1.666667;
83714;16/04/1961;1200;0;;9.3;;;;;;
83714;17/04/1961;0000;;23.8;;9.8;1.5;14.28;85.75;2;
83714;17/04/1961;1200;0;;6.8;;;;;;
83714;18/04/1961;0000;;22.8;;5.1;1.9;14.7;84.5;2;
83714;18/04/1961;1200;0;;7.8;;;;;;
83714;19/04/1961;0000;;16;;0;2.1;12.96;96.5;2.333333;
83714;19/04/1961;1200;2.4;;10.4;;;;;;
83714;20/04/1961;0000;;16.8;;0;0.3;13.36;94.5;1.333333;
83714;20/04/1961;1200;0.7;;10;;;;;;
83714;21/04/1961;0000;;15;;0;0.7;13.44;99;2.333333;
83714;21/04/1961;1200;0.9;;12;;;;;;
83714;22/04/1961;0000;;19.4;;8.9;0.7;13.58;89.75;3;
83714;22/04/1961;1200;4.8;;7.8;;;;;;
